ID,Event Type,File Name,Timestamp,File Size,Path
1,ENTRY_CREATE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:18:35.139715100,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf"
2,ENTRY_CREATE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy.pdf,2026-09-20T20:18:39.249954,0,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy.pdf"
3,ENTRY_MODIFY (x2),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:18:39.257944500,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf"
4,ENTRY_MODIFY (x1),Hello,2026-09-20T20:18:41.298243400,4096,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello"
5,ENTRY_DELETE,hiya.pdf,2026-09-20T20:19:21.471878700,0,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello\hiya.pdf"
6,ENTRY_MODIFY (x5),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy.pdf,2026-09-20T20:19:21.471878700,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy.pdf"
7,ENTRY_CREATE,hiya - Copy - Copy.pdf,2026-09-20T20:19:27.091560,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello\hiya - Copy - Copy.pdf"
8,ENTRY_MODIFY (x1),Hello,2026-09-20T20:19:27.107562800,4096,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello"
9,ENTRY_MODIFY (x1),Hello,2026-09-20T20:19:28.623207400,4096,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello"
10,ENTRY_CREATE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:41.060777400,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf"
11,ENTRY_MODIFY (x5),hiya - Copy - Copy.pdf,2026-09-20T20:19:41.072874900,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\Hello\hiya - Copy - Copy.pdf"
12,ENTRY_CREATE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:41.563695600,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf"
13,ENTRY_CREATE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:42.080932800,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf"
14,ENTRY_MODIFY (x1),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:42.080932800,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf"
15,ENTRY_MODIFY (x4),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:44.308887600,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf"
16,ENTRY_MODIFY (x4),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:44.309895200,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf"
17,ENTRY_MODIFY (x1),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:45.331670100,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (5) - Copy - Copy - Copy - Copy.pdf"
18,ENTRY_MODIFY (x1),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:19:45.332830600,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (6) - Copy - Copy - Copy - Copy.pdf"
19,ENTRY_DELETE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:20:01.610732700,0,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (4) - Copy - Copy - Copy - Copy.pdf"
20,ENTRY_CREATE,pp.pdf,2026-09-20T20:20:01.614755600,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\pp.pdf"
21,ENTRY_MODIFY (x1),7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:20:01.618514900,2118074,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf"
22,ENTRY_DELETE,pp.pdf,2026-09-20T20:20:04.569206,0,"C:\Users\olive\OneDrive\Desktop\FileTester\pp.pdf"
23,ENTRY_MODIFY (x1),pp.pdf,2026-09-20T20:20:04.569206,0,"C:\Users\olive\OneDrive\Desktop\FileTester\pp.pdf"
24,ENTRY_DELETE,7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf,2026-09-20T20:20:06.684095800,0,"C:\Users\olive\OneDrive\Desktop\FileTester\7033209e-c1a5-441c-9ae0-a320434f58a2 - Copy (7) - Copy - Copy - Copy - Copy.pdf"
